title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://anc1kr1st-my-todo-app-web-fhsfy3.streamlit.app/;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://anc1kr1st-showcase-website-home-yiew4t.streamlit.app/;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Anc1kr1st/PDF_Template;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Anc1kr1st/Invoice_Generation;4.png
News API;This app accesses new about a particular topic and sends them by email.;https://github.com/Anc1kr1st/News_Api_Email;5b.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/Anc1kr1st/WeatherApi;6.png
NASA Daily Images;Web API for showing pictures daily published by NASA.;https://anc1kr1st-nasa-daily-images-main-o1hnpw.streamlit.app/;7a.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/Anc1kr1st/Tour_Scraper_Sql;8.png
Job Application Form Flask;Job Application Form created with Flask.;https://github.com/Anc1kr1st/Job_Application_Form_Flask;9a.jpg
Job Application Form Django;Job Application Form created with Django.;https://github.com/Anc1kr1st/Job_Application_Form_Django;10a.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Anc1kr1st/Email_Webcam_Detection;11.png
Typing Analyzer;Analyzing book content using Regular Expressions (Regex) and Sentiment Analysis in Jupyter Lab.;https://github.com/Anc1kr1st/Typing_Analyzer;12.png
Speed Calculator GUI;Simple speed calculation application with GUI.;https://github.com/Anc1kr1st/Speed_Calculator_GUI;13.png
Web Automation Tool;Application for browser automation with GUI.;https://github.com/Anc1kr1st/Browser_Automation_Selenium_GUI;14b.png
Popularity-Based Filtering;Popularity-based movies recommendation system.;https://deepnote.com/workspace/Database-2bd189cf-a76f-4d2f-a7a8-ce80c263eec6/project/Movie-Recommendation-System-b7922258-1d5a-4cf7-babf-5cd5d86c3352/notebook/Notebook-1-277c465d3cf645a089f997783332b605?utm_source=share-modal&utm_medium=product-shared-content&utm_campaign=notebook&utm_content=b7922258-1d5a-4cf7-babf-5cd5d86c3352;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://anc1kr1st-weather-forecast-data-app-main-8laufh.streamlit.app/;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/Anc1kr1st/Student_Management_System_SQLite;17.png
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://github.com/Anc1kr1st/Student_Management_System;18.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://anc1kr1st.pythonanywhere.com/;19.png
Online Store;Simple consol application built in Python.;https://github.com/Anc1kr1st/Shop;20.png
Hotel Booking Application;Consol application for hotel booking system.;https://github.com/Anc1kr1st/Hotel_Booking_System;21.png
Python Package;Python package uploaded on PyPi, which creates PDF invoices out of Excel files.;https://pypi.org/project/invoicing-pdf-17.03.25/;22b.png
